# x: left to right, y: bottom to top, coords are for bottom left corner of sub-image
# index x y w h advance bearing_x bearing_y
33 288 157 5 21 7 1 21
34 233 281 11 9 13 1 21
35 179 51 22 21 24 1 21
36 115 152 21 26 22 0 24
37 0 237 32 21 34 1 21
38 179 93 22 21 24 1 21
39 26 4 5 9 7 1 21
40 285 72 11 21 13 1 21
41 286 93 11 21 13 1 21
42 236 3 7 6 9 1 23
43 192 288 14 14 16 1 18
44 243 0 5 9 7 1 5
45 79 3 12 5 14 1 13
46 15 1 5 5 7 1 5
47 277 204 19 21 20 1 21
48 222 72 21 21 23 1 21
49 22 132 5 21 7 1 21
50 137 204 20 21 22 1 21
51 222 30 21 21 22 0 21
52 179 114 21 22 23 1 21
53 222 9 21 21 22 0 21
54 243 51 21 21 23 1 21
55 136 57 20 22 21 0 21
56 243 30 21 21 23 1 21
57 243 9 21 21 23 1 21
58 74 0 5 13 7 1 13
59 27 135 5 18 7 1 13
60 27 104 5 21 7 1 21
61 233 290 13 12 15 1 17
62 22 104 5 21 7 1 21
63 264 30 21 21 22 0 21
64 98 257 25 24 27 1 23
65 222 51 21 21 23 1 21
66 264 72 21 21 23 1 21
67 157 204 20 21 22 1 21
68 201 9 21 21 23 1 21
69 237 204 20 21 21 1 21
70 257 204 20 21 21 1 21
71 74 197 21 28 23 1 21
72 265 93 21 21 23 1 21
73 293 157 5 21 7 1 21
74 244 93 21 21 22 0 21
75 179 30 22 21 23 1 21
76 197 204 20 21 21 1 21
77 0 195 30 21 32 1 21
78 201 72 21 21 23 1 21
79 264 9 21 21 23 1 21
80 183 178 21 21 23 1 21
81 74 169 21 28 23 1 21
82 200 115 22 21 23 1 21
83 115 105 21 21 22 0 21
84 136 35 20 22 21 0 21
85 179 72 22 21 24 1 21
86 156 73 23 21 23 0 21
87 0 216 30 21 32 1 21
88 228 136 23 21 24 1 21
89 223 93 21 21 22 0 21
90 217 204 20 21 22 1 21
91 285 51 11 21 13 1 21
92 74 148 19 21 20 1 21
93 285 30 11 21 13 1 21
94 156 31 23 21 23 0 21
95 257 199 17 5 19 1 4
96 248 4 9 5 8 -2 28
97 141 178 21 21 23 1 21
98 162 178 21 21 23 1 21
99 204 178 20 21 22 1 21
100 115 21 21 21 23 1 21
101 115 42 21 21 22 1 21
102 115 63 21 21 22 1 21
103 32 1 21 28 23 1 21
104 267 157 21 21 23 1 21
105 22 75 5 22 7 1 21
106 246 157 21 21 22 0 21
107 264 115 22 21 23 1 21
108 177 204 20 21 21 1 21
109 0 153 30 21 32 1 21
110 204 157 21 21 23 1 21
111 183 157 21 21 23 1 21
112 162 157 21 21 23 1 21
113 32 57 21 28 23 1 21
114 201 93 22 21 23 1 21
115 225 157 21 21 22 0 21
116 136 13 20 22 21 0 21
117 179 9 22 21 24 1 21
118 156 94 23 21 23 0 21
119 0 174 30 21 32 1 21
120 156 115 23 21 24 1 21
121 115 84 21 21 22 0 21
122 224 178 20 21 22 1 21
123 274 136 23 21 24 1 21
124 27 43 5 26 7 1 23
125 244 178 20 21 22 1 21
126 243 114 21 22 23 1 21
161 27 76 5 21 7 1 21
162 117 204 20 21 21 1 21
163 180 136 24 21 24 0 21
164 156 136 24 21 24 0 21
165 251 136 23 21 23 0 21
166 22 43 5 26 7 1 23
167 204 136 24 21 24 0 21
168 206 284 12 5 14 1 28
169 15 6 7 7 9 1 24
170 222 114 21 22 23 1 22
171 282 289 11 13 13 1 17
172 284 226 14 10 16 1 13
173 227 4 9 5 11 1 13
174 5 1 7 7 9 1 23
175 282 284 17 5 19 1 23
176 232 199 5 5 7 1 28
177 284 236 13 17 15 1 17
178 220 290 13 12 14 0 24
179 246 290 13 12 14 0 24
180 22 70 8 5 8 1 28
181 95 199 22 26 24 1 21
182 74 127 19 21 21 1 21
183 271 284 5 5 7 1 13
184 5 8 10 5 7 -4 1
185 22 1 4 12 6 1 24
186 259 290 12 12 14 1 24
187 271 289 11 13 13 1 17
188 123 258 26 23 27 0 21
189 136 157 26 21 27 0 21
190 0 258 32 23 34 1 21
191 264 178 20 21 21 1 21
192 170 253 21 28 23 1 28
193 263 225 21 28 23 1 28
194 32 225 21 28 23 1 28
195 53 29 21 28 23 1 28
196 53 57 21 28 23 1 28
197 53 85 21 28 23 1 28
198 46 281 37 21 38 1 21
199 136 131 20 26 22 1 21
200 95 3 20 28 21 1 28
201 95 31 20 28 21 1 28
202 95 59 20 28 21 1 28
203 95 87 20 28 22 1 28
204 86 13 8 28 7 -1 28
205 87 70 8 28 7 -1 28
206 74 70 13 28 7 -3 28
207 74 13 12 28 8 -2 28
208 115 178 26 21 28 1 21
209 53 141 21 28 23 1 28
210 53 197 21 28 23 1 28
211 221 225 21 28 23 1 28
212 200 225 21 28 23 1 28
213 179 225 21 28 23 1 28
214 158 225 21 28 23 1 28
215 206 289 14 13 16 1 17
216 264 51 21 21 23 1 21
217 0 13 22 28 24 1 28
218 32 253 22 28 24 1 28
219 54 253 22 28 24 1 28
220 76 253 22 28 24 1 28
221 95 225 21 28 22 0 28
222 243 72 21 21 23 1 21
223 115 126 21 26 23 1 21
224 116 225 21 28 23 1 28
225 137 225 21 28 23 1 28
226 242 225 21 28 23 1 28
227 53 169 21 28 23 1 28
228 53 113 21 28 23 1 28
229 191 253 21 28 23 1 28
230 83 281 37 21 38 1 21
231 136 79 20 26 22 1 21
232 212 253 21 28 22 1 28
233 233 253 21 28 22 1 28
234 254 253 21 28 22 1 28
235 95 115 20 28 22 1 28
236 87 98 8 29 7 -1 28
237 86 41 8 29 7 -1 28
238 74 98 13 29 7 -3 28
239 74 41 12 29 8 -2 28
240 156 8 21 23 23 1 23
241 275 253 21 28 23 1 28
242 32 85 21 28 23 1 28
243 32 29 21 28 23 1 28
244 53 225 21 28 23 1 28
245 32 141 21 28 23 1 28
246 32 113 21 28 23 1 28
247 284 183 15 16 17 1 19
248 115 0 21 21 23 1 21
249 0 125 22 28 24 1 28
250 0 69 22 28 24 1 28
251 0 97 22 28 24 1 28
252 0 41 22 28 24 1 28
253 53 1 21 28 22 0 28
254 201 51 21 21 23 1 21
255 74 225 21 28 22 0 28
338 156 281 36 21 37 1 21
339 120 281 36 21 37 1 21
352 149 253 21 28 22 0 28
353 32 197 21 28 22 0 28
376 32 169 21 28 22 0 28
381 95 171 20 28 22 1 28
382 95 143 20 28 22 1 28
402 136 105 20 26 21 1 21
710 220 285 13 5 15 1 28
732 237 199 15 5 15 1 28
8211 79 8 12 5 14 1 13
8212 217 199 15 5 17 1 13
8216 222 0 5 9 7 1 21
8217 257 0 5 9 7 1 21
8218 0 3 5 10 7 1 5
8220 259 281 11 9 13 1 21
8221 246 281 11 9 13 1 21
8222 136 3 11 10 13 1 5
8224 286 114 13 22 15 1 21
8225 285 8 13 22 15 1 21
8226 201 30 21 21 23 1 21
8230 277 199 18 5 20 1 5
8240 0 281 46 21 48 1 21
8249 293 289 5 13 7 1 17
8250 147 0 5 13 7 1 17
8364 156 52 23 21 25 1 21
8482 22 127 9 5 11 1 24
